//#公众号：榴芒电视
//资源库：https://flowus.cn/kdsb
=== 热门 2025/11/08 15:46更新,#genre#
江苏休闲体育,http://120.233.178.42:2380/js-live-screenshot.gitv.tv/gitv_live/G_JSTY/G_JSTY.m3u8
江苏影视,http://120.233.178.42:2380/js-live-screenshot.gitv.tv/gitv_live/G_JSYS/G_JSYS.m3u8
江苏综艺,http://120.233.178.42:2380/js-live-screenshot.gitv.tv/gitv_live/G_JSZY/G_JSZY.m3u8
甘肃卫视,http://120.233.178.42:2380/js-live-screenshot.gitv.tv/gitv_live/G_GANSU/G_GANSU.m3u8
重庆卫视,http://120.233.178.42:2380/js-live-screenshot.gitv.tv/gitv_live/G_CHONGQING-CQ/G_CHONGQING-CQ.m3u8
广西卫视,http://120.233.178.42:2380/js-live-screenshot.gitv.tv/gitv_live/GXWS/GXWS.m3u8
贵州卫视,http://120.233.178.42:2380/js-live-screenshot.gitv.tv/gitv_live/G_GUIZHOU/G_GUIZHOU.m3u8
海南卫视,http://120.233.178.42:2380/js-live-screenshot.gitv.tv/gitv_live/LYWS/LYWS.m3u8
河北卫视,http://120.233.178.42:2380/js-live-screenshot.gitv.tv/gitv_live/G_HEBEI/G_HEBEI.m3u8
河南卫视,http://120.233.178.42:2380/js-live-screenshot.gitv.tv/gitv_live/HENAN/HENAN.m3u8
吉林卫视,http://120.233.178.42:2380/js-live-screenshot.gitv.tv/gitv_live/G_JILIN/G_JILIN.m3u8
江西卫视,http://120.233.178.42:2380/js-live-screenshot.gitv.tv/gitv_live/JXWS/JXWS.m3u8
内蒙古卫视,http://120.233.178.42:2380/js-live-screenshot.gitv.tv/gitv_live/G_NEIMENGGU/G_NEIMENGGU.m3u8
宁夏卫视,http://120.233.178.42:2380/js-live-screenshot.gitv.tv/gitv_live/G_NINGXIA/G_NINGXIA.m3u8
山西卫视,http://120.233.178.42:2380/js-live-screenshot.gitv.tv/gitv_live/SXWS/SXWS.m3u8
陕西卫视,http://120.233.178.42:2380/js-live-screenshot.gitv.tv/gitv_live/G_SHANXI/G_SHANXI.m3u8
