//#公众号：榴芒电视
//资源库：https://flowus.cn/kdsb

蜀小果,#genre#
叙州新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/ybx_2000.m3u8
筠连新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/ylyt_2000.m3u8
长宁综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/znzh_2000.m3u8
宁新综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/snxwzhHDH265_4000.m3u8
遂宁文化,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/sngggq_2000.m3u8
安居综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/ajxw_2000.m3u8
大英新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/dyxwzhH265_4000.m3u8
蓬溪新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/pxxw_2000.m3u8
乐山新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/lsxwzh_4000.m3u8
乐山文旅,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/lsggpd_4000.m3u8
峨边综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/ebdst_2000.m3u8
夹江新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/jjxw_2000.m3u8
金口河综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/jkhdst_2000.m3u8
井研新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/jyxwzh162_2000.m3u8
马边综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/mbxwzh_2000.m3u8
沐川综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/mcxw_2000.m3u8
犍为新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/qwxwzh_2000.m3u8
沙湾融媒,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/swxwzh_2000.m3u8
五通桥综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/wtqxwzh_2000.m3u8
内江综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/njzh_4000.m3u8
内江公共,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/njgg_4000.m3u8
东兴综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/dxxwzh_4000.m3u8
隆昌综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/lcxw_2000.m3u8
资中综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/zzzh_2000.m3u8
南充综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/ncxwzh_2000.m3u8
南充科教,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/nckj_4000.m3u8
阆中综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/lzxw_2000.m3u8
南部综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/nbxw_2000.m3u8
蓬安综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/pazh_2000.m3u8
西充新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/xczh_2000.m3u8
仪陇新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/ylxw_2000.m3u8
营山综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/ysxw_2000.m3u8
达州新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/dzxwzh_2000.m3u8
达州文化,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/dzgg_2000.m3u8
达州导视,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/dzds_2000.m3u8
达川新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/dcxwzh_2000.m3u8
大竹新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/dzxwzh137_2000.m3u8
开江新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/kjxwzh_2000.m3u8
渠县新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/qxxwzh_2000.m3u8
通川综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/xcxwzhH264_2000.m3u8
万源综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/wyxwzh_2000.m3u8
宣汉新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/xhxwzh_2000.m3u8
雅安新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/yazh_2000.m3u8
雅安公共,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/yagg_2000.m3u8
雅安雨城,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/ycpd_2000.m3u8
宝兴综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/bxdst_2000.m3u8
汉源新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/hyxwzh_2000.m3u8
芦山新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/lszh_2000.m3u8
名山综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/msdstH265_2000.m3u8
石棉综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/smxwzh_2000.m3u8
天全新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/tqzh_2000.m3u8
荥经综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/xjdst_2000.m3u8
广安公共,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/gagg_2000.m3u8
广安区综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/gaqxw_2000.m3u8
华蓥综合,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/hyxw_2000.m3u8
